ï»¿serial-number,part-number,name,temperature,rx-power,tx-power,current,voltage,power-on-time,ip-address,Label
JAF41836000023F,P9H32A,fc/0/7,53,599.5,431.6,7.7,3348.2,36130,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,600.8,431.3,7.7,3342.6,36134,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,602,431.2,7.71,3348.7,36135,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,600,438,7.76,3359.7,36141,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,600.3,431.5,7.7,3344.3,36153,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,573.3,421.4,7.65,3340.8,36160,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,61,560.2,417.5,7.64,3337.3,36161,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,568.3,422.7,7.64,3342.2,36162,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,57,573.9,426.1,7.7,3329.5,36163,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,573.5,427,7.7,3345.4,36164,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,568.9,421.1,7.64,3347.5,36165,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,577.1,419.8,7.65,3344.2,36166,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,569,423.9,7.7,3340.6,36167,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,578.7,424.3,7.69,3344.1,36168,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,578.6,424.7,7.7,3340.3,36169,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,582.4,424,7.7,3335,36170,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,574.2,425,7.7,3341.8,36171,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,566.6,421.3,7.64,3338.3,36171,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,570.8,422.9,7.63,3340.3,36172,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,577.2,423.6,7.7,3346.7,36173,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,580.4,423.8,7.7,3342.3,36174,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,582.8,422.6,7.65,3342.2,36175,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,559.7,420.9,7.63,3348.4,36178,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,584.4,423.4,7.67,3339.3,36179,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,57,585.7,426.9,7.7,3345.4,36179,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,574.1,425.3,7.7,3346.5,36181,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,565.9,425.5,7.7,3334.8,36182,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,57,576.7,425.4,7.7,3343.5,36183,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,570,420.5,7.64,3343.4,36186,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,573.9,424.5,7.7,3345.9,36187,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,570.2,425.6,7.7,3337.8,36188,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,573.7,424.6,7.69,3343,36189,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,574.8,424.4,7.7,3341.7,36193,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,567.1,423.2,7.63,3332.5,36194,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,559.9,422.3,7.63,3347.2,36195,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,568.8,421.9,7.64,3346.1,36196,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,571.9,421.6,7.64,3340.6,36198,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,556.9,421.5,7.63,3345.1,36199,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,565.1,420,7.64,3334.9,36200,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,571.3,423.7,7.67,3341.5,36203,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,579.5,420.8,7.64,3340.6,36205,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,574.2,420.2,7.64,3343.7,36205,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,577.5,424.8,7.7,3345.7,36206,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,569.9,424.2,7.7,3345.6,36210,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,572.5,424.9,7.7,3337.2,36211,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,570.4,420.6,7.62,3342.8,36212,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,582.2,419.9,7.62,3347.1,36214,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,58,577.6,420.3,7.64,3339.7,36214,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,569.8,418.4,7.64,3341.8,36217,172.17.101.190,PreWarning
